reg_name,prov_name,2009,2010,2011,2012,2013,2014,2015,2016
Cordillera Administrative Region,Abra,468.13,499.19,540.54,515.36,563.24,634.97,723.3,792.3
XIII - Caraga,Agusan del Norte,452.68,481.83,520.7,497.15,546.77,614.48,697.9,762.9
XIII - Caraga,Agusan del Sur,877.84,934.94,1011.33,963.55,1072.04,1210.45,1380.9,1515.8
VI - Western Visayas,Aklan,485.51,517.0,558.83,533.34,593.81,668.01,759.1,830.8
V - Bicol Region,Albay,805.2,855.62,924.73,881.64,967.7,1090.97,1242.8,1362.7
VI - Western Visayas,Antique,534.95,569.49,615.42,587.28,648.29,729.43,829.3,907.7
Cordillera Administrative Region,Apayao,410.71,438.83,479.17,456.53,504.16,569.27,649.4,709.0
III - Central Luzon,Aurora,397.43,424.45,460.35,438.68,484.57,546.91,623.7,683.4
Autonomous Region in Muslim Mindanao,Basilan,441.01,516.76,560.12,533.65,526.95,594.8,678.3,743.5
III - Central Luzon,Bataan,529.89,564.58,610.64,582.42,637.96,718.6,817.9,895.7
II - Cagayan Valley,Batanes,197.21,211.57,231.86,221.17,241.25,271.67,309.1,335.9
IV-A - CALABARZON,Batangas,1275.23,1356.72,1465.39,1396.79,1555.37,1754.47,1999.6,2194.5
Cordillera Administrative Region,Benguet,470.96,501.83,547.53,522.55,580.13,647.94,737.2,806.9
VIII - Eastern Visayas,Biliran,269.36,288.15,312.96,298.44,329.11,370.86,422.3,461.7
VII - Central Visayas,Bohol,922.0,981.27,1067.02,1017.53,1106.25,1246.52,1417.2,1549.2
X - Northern Mindanao,Bukidnon,1138.77,1212.68,1319.66,1257.39,1413.9,1596.3,1820.9,1991.1
III - Central Luzon,Bulacan,1516.9,1609.99,1750.24,1669.31,1828.12,2046.8,2331.4,2577.9
II - Cagayan Valley,Cagayan,1055.31,1122.78,1212.97,1156.29,1276.48,1439.56,1640.4,1799.6
V - Bicol Region,Camarines Norte,508.75,542.11,590.17,563.05,621.14,699.25,795.4,867.1
V - Bicol Region,Camarines Sur,1071.14,1139.99,1231.87,1174.1,1316.34,1485.18,1693.1,1858.0
X - Northern Mindanao,Camiguin,225.13,241.28,262.54,250.31,273.18,307.96,350.8,383.3
VI - Western Visayas,Capiz,613.32,652.43,710.76,678.69,738.1,822.94,935.2,1023.3
V - Bicol Region,Catanduanes,378.16,401.79,433.1,414.39,453.1,506.8,572.9,624.1
IV-A - CALABARZON,Cavite,1455.8,1549.04,1673.33,1594.66,1810.44,2043.3,2330.0,2558.2
VII - Central Visayas,Cebu,1462.66,1554.85,1702.93,1625.54,1821.4,2033.32,2312.7,2524.2
XI - Davao Region,Compostela Valley,634.23,676.84,733.64,698.49,780.88,883.04,1008.8,1107.9
XI - Davao Region,Davao del Norte,677.57,722.84,783.14,745.74,851.54,962.67,1099.5,1207.5
XI - Davao Region,Davao del Sur,721.79,768.6,830.99,792.24,876.74,988.54,1126.2,1058.7
XI - Davao Region,Davao Oriental,640.37,682.26,738.15,703.59,779.21,878.95,1001.8,1098.4
XIII - Caraga,Dinagat Islands,264.63,284.03,0.0,0.0,324.32,367.34,420.3,461.0
VIII - Eastern Visayas,Eastern Samar,580.62,617.52,670.79,640.56,705.0,792.02,899.2,979.2
VI - Western Visayas,Guimaras,266.69,285.71,310.81,296.11,327.14,369.45,421.5,461.5
Cordillera Administrative Region,Ifugao,385.82,411.26,444.98,424.72,466.25,524.35,595.9,651.5
I - Ilocos Region,Ilocos Norte,577.8,615.33,665.29,634.56,695.66,783.56,891.8,976.8
I - Ilocos Region,Ilocos Sur,593.46,631.12,680.72,650.21,711.27,798.57,906.1,990.5
VI - Western Visayas,Iloilo,1150.12,1221.65,1325.26,1265.2,1408.79,1583.75,1799.2,1962.0
II - Cagayan Valley,Isabela,1291.29,1373.15,1492.04,1422.87,1579.3,1779.6,2026.2,2212.9
Cordillera Administrative Region,Kalinga,416.89,443.99,480.01,458.26,507.21,570.15,647.7,708.0
I - Ilocos Region,La Union,567.32,603.92,652.56,622.67,678.42,763.39,868.0,950.1
IV-A - CALABARZON,Laguna,1326.43,1410.37,1522.26,1451.59,1640.55,1849.08,2105.8,2310.0
X - Northern Mindanao,Lanao del Norte,560.22,596.15,643.95,614.61,696.14,783.13,890.2,974.3
Autonomous Region in Muslim Mindanao,Lanao del Sur,1153.99,1230.83,1333.64,1268.82,1282.78,1452.92,1662.4,1828.6
VIII - Eastern Visayas,Leyte,1144.78,1111.99,1197.78,1143.94,1251.37,1405.38,1595.0,1745.3
Autonomous Region in Muslim Mindanao,Maguindanao,590.83,1078.63,1169.04,1112.22,1047.64,1186.58,1357.7,1493.1
IV-B - MIMAROPA,Marinduque,325.72,347.78,376.96,359.62,388.2,437.0,497.1,543.5
V - Bicol Region,Masbate,700.94,746.13,806.36,769.01,860.88,970.05,1104.5,1210.5
X - Northern Mindanao,Misamis Occidental,506.71,539.82,587.5,560.61,621.09,698.91,794.7,866.1
X - Northern Mindanao,Misamis Oriental,638.54,680.35,735.95,701.57,787.17,887.76,1011.6,1109.1
Cordillera Administrative Region,Mt. Province,348.67,371.91,402.73,384.34,420.33,472.84,537.5,587.6
VI - Western Visayas,Negros Occidental,1547.02,1644.81,1791.43,1708.71,1844.53,2061.21,2347.8,2575.8
VII - Central Visayas,Negros Oriental,969.26,1030.14,1127.74,1076.84,1182.61,1319.25,1499.2,1634.9
XII - SOCCSKSARGEN,North Cotabato,1041.41,1109.4,1207.54,1150.42,1295.34,1462.83,1669.1,1825.4
VIII - Eastern Visayas,Northern Samar,605.84,643.96,694.71,663.47,734.39,824.92,936.4,1024.0
II - Cagayan Valley,Nueva Vizcaya,545.84,581.83,633.67,604.24,667.01,751.74,856.1,934.0
IV-B - MIMAROPA,Occidental Mindoro,624.32,665.05,723.87,690.31,764.93,861.96,981.4,1071.0
IV-B - MIMAROPA,Oriental Mindoro,686.14,730.7,790.08,753.27,837.14,943.82,1075.2,1178.7
IV-B - MIMAROPA,Palawan,1111.21,1183.13,1288.59,1227.93,1382.48,1560.45,1779.6,1944.5
III - Central Luzon,Pampanga,1091.26,1160.89,1260.78,1202.55,1332.12,1500.49,1707.8,1865.0
I - Ilocos Region,Pangasinan,1563.26,1661.79,1804.63,1721.3,1904.24,2144.83,2441.1,2665.6
IV-A - CALABARZON,Quezon,1303.33,1384.76,1493.59,1424.89,1578.51,1777.23,2021.9,2216.4
II - Cagayan Valley,Quirino,410.3,437.61,473.92,451.99,498.82,561.97,639.7,700.3
IV-B - MIMAROPA,Romblon,384.57,409.56,442.69,422.81,458.57,514.92,584.3,638.2
VIII - Eastern Visayas,Samar,753.39,801.88,871.92,831.68,918.2,1034.13,1176.9,1284.2
XII - SOCCSKSARGEN,Saranggani,538.72,574.62,626.15,596.82,657.7,741.92,845.6,923.2
VII - Central Visayas,Siquijor,239.2,255.96,281.86,269.25,293.21,326.78,371.0,403.0
V - Bicol Region,Sorsogon,594.37,632.38,682.92,651.81,715.2,804.37,914.2,1000.4
XII - SOCCSKSARGEN,South Cotabato,683.96,728.51,787.87,751.07,839.06,946.26,1078.3,1182.3
VIII - Eastern Visayas,Southern Leyte,443.03,471.7,509.75,486.69,528.83,594.27,674.8,737.6
XII - SOCCSKSARGEN,Sultan Kudarat,693.38,739.76,800.84,762.93,859.95,971.23,1108.2,1216.3
Autonomous Region in Muslim Mindanao,Sulu,609.31,651.08,710.57,676.23,666.49,754.36,862.5,943.6
XIII - Caraga,Surigao del Norte,466.51,496.16,643.61,614.45,566.95,636.34,721.8,788.5
XIII - Caraga,Surigao del Sur,638.74,682.02,737.24,703.11,768.88,866.2,986.0,1080.3
III - Central Luzon,Tarlac,835.04,888.9,966.43,921.64,1002.32,1129.28,1285.6,1403.4
Autonomous Region in Muslim Mindanao,Tawi-Tawi,502.05,536.79,585.89,557.55,565.99,640.67,732.6,801.7
III - Central Luzon,Zambales,562.57,598.73,650.76,621.2,690.72,776.68,882.5,961.7
IX - Zamboanga Peninsula,Zamboanga del Norte,913.37,970.94,1047.82,999.72,1104.45,1243.21,1414.1,1549.3
IX - Zamboanga Peninsula,Zamboanga del Sur,774.51,824.52,908.75,867.23,955.27,1063.97,1211.1,1320.4
IX - Zamboanga Peninsula,Zamboanga Sibugay,566.94,604.73,657.47,626.51,696.54,786.2,896.6,980.9
