reg_name,prov_name,2009,2012,2015
NATIONAL CAPITAL REGION,1st District,6.2,6.2,5.1
NATIONAL CAPITAL REGION,2nd District,4.3,4.3,2.9
NATIONAL CAPITAL REGION,3rd District,7.0,7.0,4.1
NATIONAL CAPITAL REGION,4th District,5.4,5.4,4.5
CORDILLERA ADMINISTRATIVE REGION,Abra ,48.8,37.4,28.9
CORDILLERA ADMINISTRATIVE REGION,Apayao  ,45.7,61.4,34.9
CORDILLERA ADMINISTRATIVE REGION,Benguet ,6.1,3.7,3.5
CORDILLERA ADMINISTRATIVE REGION,Ifugao,32.1,42.4,32.5
CORDILLERA ADMINISTRATIVE REGION,Kalinga,30.1,26.8,34.9
CORDILLERA ADMINISTRATIVE REGION,Mt. Province,52.2,37.6,39.0
REGION I,Ilocos Norte,14.7,9.9,5.3
REGION I,Ilocos Sur,18.1,17.3,12.1
REGION I,La Union,29.3,18.5,12.2
REGION I,Pangasinan,22.3,20.4,15.3
REGION I,Batanes,14.4,33.3,0.0
REGION I,Cagayan,27.8,19.7,15.9
REGION I,Isabela,28.9,24.4,15.2
REGION I,Nueva Vizcaya  ,13.3,20.7,13.6
REGION I,Quirino ,15.6,21.2,26.5
REGION III,Aurora,18.2,30.8,26.3
REGION III,Bataan ,7.7,7.1,2.0
REGION III,Bulacan,6.9,7.3,4.5
REGION III,Nueva Ecija,29.9,25.2,22.6
REGION III,Pampanga,6.9,7.6,4.9
REGION III,Tarlac,17.5,16.6,18.1
REGION III,Zambales,17.3,16.0,16.8
REGION IV-A,Batangas ,17.1,19.0,9.3
REGION IV-A,Cavite,3.2,3.4,6.8
REGION IV-A,Laguna,8.4,6.4,5.4
REGION IV-A,Quezon,29.8,27.5,22.7
REGION IV-A,Rizal,8.6,6.1,5.4
REGION IV-B,Marinduque ,33.6,32.9,16.2
REGION IV-B,Occidental Mindoro,35.9,38.1,41.2
REGION IV-B,Oriental Mindoro,36.1,29.3,21.6
REGION IV-B,Palawan,30.9,26.4,17.0
REGION IV-B,Romblon ,41.9,40.5,36.6
REGION V,Albay,36.7,41.0,25.2
REGION V,Camarines Norte ,41.8,28.7,36.4
REGION V,Camarines Sur,47.9,41.2,35.2
REGION V,Catanduanes ,29.1,33.8,43.4
REGION V,Masbate,56.3,51.3,45.4
REGION V,Sorsogon ,39.3,40.7,41.3
REGION VI,Aklan ,44.7,25.0,14.9
REGION VI,Antique,44.3,30.9,26.0
REGION VI,Capiz,29.0,27.8,12.9
REGION VI,Guimaras,20.7,25.2,5.2
REGION VI,Iloilo,26.6,26.2,20.0
REGION VI,Negros Occidental,30.4,32.3,29.0
REGION VII,Bohol,43.7,36.8,26.0
REGION VII,Cebu,26.8,22.7,21.4
REGION VII,Negros Oriental,33.2,50.1,45.0
REGION VII,Siquijor,31.0,32.6,52.9
REGION VIII,Biliran ,39.2,27.5,21.3
REGION VIII,Eastern Samar ,56.4,63.7,46.3
REGION VIII,Leyte,36.3,39.2,31.0
REGION VIII,Northern Samar,52.1,50.2,56.2
REGION VIII,Southern Leyte,43.1,43.3,38.0
REGION VIII,Samar,42.5,50.0,46.9
Region IX,Zamboanga del Norte,68.5,54.4,51.6
Region IX,Zamboanga del Sur ,31.6,32.0,24.8
Region IX,Zamboanga Sibugay  ,52.7,44.8,31.7
Region IX,Isabela City  ,27.4,22.1,25.1
Region X,Bukidnon,46.0,49.0,53.6
Region X,Camiguin,25.5,53.6,34.0
Region X,Lanao Del Norte,46.2,49.1,44.3
Region X,Misamis Occidental,46.5,42.8,36.9
Region X,Misamis Oriental,28.9,23.4,19.3
Region XI,Davao del Norte ,32.0,33.4,33.2
Region XI,Davao del Sur ,24.8,24.4,15.6
Region XI,Davao Oriental,54.4,45.8,29.9
Region XI,Davao de Oro,36.6,36.7,28.1
Region XII,Cotabato,30.6,52.4,41.4
Region XII,Saranggani  ,57.7,53.2,55.2
Region XII,South Cotabato,31.6,32.0,24.6
Region XII,Sultan Kudarat ,51.5,48.5,48.0
BARMM,Cotabato City,34.0,44.3,31.6
Region XIII,Agusan del Norte,45.9,34.7,34.9
Region XIII,Agusan del Sur,60.0,48.1,47.3
Region XIII,Surigao del Norte,57.9,41.8,34.7
Region XIII,Surigao del Sur,53.7,36.0,40.1
BARMM,Basilan  ,36.6,41.2,37.0
BARMM,Lanao del Sur,56.6,73.8,71.9
BARMM,Maguindanao,52.2,63.7,57.2
BARMM,Sulu,41.6,45.8,54.9
BARMM,Tawi-tawi,35.3,28.6,12.6